Y2,measurement_time,Y1,X2,X1,Z1,Z2
0.6515102982521057,6903909586388691968,0.6392897367477417,0.6544880867004395,0.6366445422172546,0.6340014934539795,0.653809666633606
0.6583762764930725,6903909587247685632,0.6463090777397156,0.660950779914856,0.6418386101722717,0.6403473019599915,0.6587604284286499
0.6560444235801697,6903909588106679296,0.6443821787834167,0.6582165956497192,0.6400319933891296,0.637774646282196,0.6567801237106323
0.663946807384491,6903909588974262272,0.6522273421287537,0.6665849685668945,0.6479360461235046,0.6460928320884705,0.6647012829780579
0.666926383972168,6903909589828961280,0.6553929448127747,0.6690706014633179,0.6494039297103882,0.6485797166824341,0.6666815280914307
0.6719787120819092,6903909590687953920,0.6606230735778809,0.6732962131500244,0.6532430648803711,0.6528674364089966,0.669651985168457
0.6708127856254578,6903909591546947584,0.6589714288711548,0.6725505590438843,0.6531301140785217,0.652009904384613,0.6703120470046997
0.6560444235801697,6903909592405941248,0.644932746887207,0.6594594120979309,0.6416127681732178,0.6393182277679443,0.6590904593467712
0.6626513600349426,6903909593264934912,0.6511262655258179,0.6646792888641357,0.6460164785385132,0.6447207927703857,0.6633810997009277
0.6630399823188782,6903909594128223232,0.6514015793800354,0.6652593016624451,0.6463552117347717,0.6449780464172363,0.6630510091781616
0.6660195589065552,6903909594982921216,0.6542918682098389,0.6680763363838196,0.6488393545150757,0.6476364135742188,0.6666815280914307
0.6634286046028137,6903909595850505216,0.6505757570266724,0.6653421521186829,0.6466939449310303,0.6448065042495728,0.6637111306190491
