measurement_time,FORT
6903602661836672000,19.408897399902344
6903602662661305344,19.44023895263672
6903602663524593664,19.506057739257812
6903602664383587328,19.537399291992188
6903602665242580992,19.452775955200195
6903602666097280000,19.433971405029297
6903602666986337280,19.465312957763672
6903602667922640896,19.50292205810547
6903602668678554624,19.518592834472656
6903602669537548288,19.521728515625
6903602670392247296,19.443374633789062
6903602671255535616,19.42456817626953
6903602672114528256,19.393226623535156
6903602672990701568,19.383825302124023
6903602673828220928,19.405763626098633
6903602674691509248,19.412033081054688
6903602675546207232,19.455909729003906
6903602676413791232,19.471580505371094
6903602677264194560,19.44023895263672
6903602678179022848,19.506057739257812
6903602678986476544,19.509191513061523
6903602679845470208,19.48098373413086
6903602680704462848,19.46217918395996
6903602681563456512,19.512325286865234
6903602682422450176,19.45904541015625
6903602683324393472,19.412033081054688
6903602684256401408,19.37755584716797
6903602684995135488,19.386959075927734
6903602685858423808,19.433971405029297
